v1,v2,v3,v4,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,L1,L2,L3,L4,L5,,P1,P2,P3,P4,,,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,,1,2,3,4,5,6,7,8,9,10,11,12,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,,A,B,C,D,E,F,G
1,8,16,5,12,6,7,4,10,14,2,17,3,9,18,19,20,13,11,15,21,8.5,9,9,9.16666666666667,9.5,,2,2,1,2,,6,,8,9,10,8,9,9,9,9,9,8,9,9,10,10,10,8,9,7,10,10,7,8,8,8,10,10,10,10,10,10,,6,5,6,6,6,5,5,6,6,7,6,6,5,5,5,5,5.625,7,7,8,7,7,7,6,6,7,6,7,8,,4,4,4,5,5,5,4,4,4,4,4,5,4,5,4,3,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,5,5,4,,4,1,4,1,4,3,7
5,1,2,15,19,16,17,12,13,20,8,11,21,6,4,3,9,10,14,18,7,8.66666666666667,8.33333333333333,8.5,8.5,7.83333333333333,,2,1,2,2,,8,,9,8,9,8,9,8,8,7,9,9,9,8,8,9,8,9,8,9,8,6,8,9,9,8,6,9,9,9,9,9,,5,5,4,6,6,5,6,6,7,7,6,6,6,6,6,5,5.75,7,8,8,8,8,8,8,8,8,8,8,8,,4,3,5,4,5,5,4,4,4,4,4,4,5,5,4,4,4,4,5,4,4,4,4,4,4,4,4,5,2,4,4,5,5,4,3,3,4,4,5,,4,1,4,1,2,3,7
8,16,1,12,4,9,10,14,3,5,6,2,15,11,17,18,19,7,13,20,21,6.66666666666667,7.83333333333333,9.33333333333333,9.16666666666667,8.16666666666667,,1,2,2,1,,13,,6,9,7,9,10,8,7,10,9,8,6,6,10,10,7,8,10,10,9,9,6,7,10,9,6,6,8,9,9,9,,6,6,7,6,5,6,5,5,7,7,7,7,6,6,5,6,6.0625,8,7,8,7,7,8,8,8,7,8,7,7,,5,5,5,4,4,5,4,4,5,4,5,5,4,5,4,5,4,5,5,4,5,4,5,4,5,4,5,4,3,4,5,5,5,4,5,4,5,4,5,,,,,,,,
8,16,12,1,14,5,6,10,2,9,17,3,15,19,4,20,7,11,13,21,18,8.83333333333333,8.66666666666667,8,9,8.5,,1,2,2,1,,13,,9,9,6,10,9,9,10,8,7,9,8,7,10,10,9,8,9,8,7,7,9,10,10,10,7,10,7,6,10,10,,6,7,6,6,6,6,6,6,7,7,7,7,6,6,6,6,6.3125,8,8,7,7,8,8,7,7,8,7,8,6,,5,5,5,4,4,5,5,5,5,4,5,5,5,5,4,5,4,4,4,3,4,5,5,4,4,4,4,4,5,4,4,4,4,5,5,4,4,5,5,,5,1,4,3,1,3,7
5,1,2,3,6,19,8,18,21,15,16,9,13,7,20,12,11,14,17,4,10,9.33333333333333,8.83333333333333,9.83333333333333,9.5,9.83333333333333,,1,1,1,1,,15,,10,8,10,9,10,10,9,10,10,9,10,8,10,10,10,8,9,9,9,10,9,10,10,9,10,9,9,10,10,10,,6,6,6,6,4,5,4,5,7,7,7,7,6,6,6,6,5.875,8,7,8,7,7,7,7,8,8,8,7,6,,4,4,5,5,5,5,4,4,4,4,5,5,4,5,5,5,5,4,4,4,5,5,5,5,5,5,5,5,5,5,4,4,5,5,5,4,5,5,5,,4,1,4,2,4,3,7
8,16,1,6,12,14,17,9,4,13,19,2,3,5,11,10,21,20,7,18,15,7,7.66666666666667,7.33333333333333,8.66666666666667,8.83333333333333,,1,2,2,1,,13,,4,8,5,8,10,8,10,7,9,10,7,8,10,9,5,9,4,5,9,10,4,8,9,9,9,10,8,8,8,9,,7,7,6,5,5,4,3,5,7,5,6,7,6,6,7,5,5.6875,8,8,6,5,3,8,3,7,6,7,5,5,,4,3,5,3,4,4,4,3,4,4,4,5,4,3,3,3,2,4,4,3,4,4,3,3,4,4,4,4,3,3,4,4,5,5,4,4,5,5,5,,3,2,3,2,0,0,7
20,21,16,18,1,2,11,5,15,10,6,9,3,17,12,13,14,19,4,8,7,9.16666666666667,8.5,9.33333333333333,9.5,9.66666666666667,,1,2,2,1,,13,,9,7,10,10,10,9,10,10,8,10,8,8,10,10,10,10,8,8,9,10,9,10,8,10,8,10,8,10,10,10,,7,7,7,4,5,5,7,7,7,7,5,7,5,5,7,6,6.125,8,8,8,8,8,8,8,8,8,7,8,7,,4,5,5,3,5,5,5,3,5,5,5,5,5,4,5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,,5,2,4,1,4,3,7
18,5,8,1,7,16,4,2,9,14,20,12,3,13,21,6,10,15,17,20,19,8.5,8.83333333333333,8.16666666666667,8.66666666666667,8.83333333333333,,1,2,2,1,,13,,9,10,8,8,9,9,9,7,9,8,8,9,10,9,9,9,7,8,9,9,7,9,8,8,9,9,9,8,9,9,,5,5,5,7,6,6,6,5,6,5,5,7,6,5,6,5,5.625,6,7,8,7,8,8,6,7,8,6,7,7,,4,3,4,4,4,5,3,3,5,4,5,5,5,5,4,5,4,4,5,4,4,5,5,5,4,4,4,5,4,4,4,5,5,5,4,4,5,5,4,,3,2,4,1,1,3,1
8,16,5,1,4,9,14,6,3,10,17,19,11,12,7,18,20,13,2,15,21,7.66666666666667,7.83333333333333,7.83333333333333,6,5.66666666666667,,2,1,2,2,,8,,7,10,6,8,6,9,9,8,3,6,8,9,8,9,6,8,3,9,5,3,7,8,6,7,5,7,8,10,4,8,,3,5,5,6,6,6,3,5,6,7,6,7,3,5,2,5,5,6,6,6,7,5,8,5,6,8,7,6,7,,3,3,5,4,4,4,4,4,5,4,5,5,4,5,3,4,3,3,4,3,4,3,4,4,4,4,4,5,4,4,4,4,4,4,4,3,5,4,5,,3,1,4,1,1,1,7
8,3,18,1,16,2,5,6,20,4,9,7,12,14,13,17,11,15,19,10,21,8.16666666666667,7.16666666666667,9,8.33333333333333,8.5,,2,1,1,1,,3,,9,6,9,9,9,8,6,9,6,7,6,9,9,8,8,9,6,9,9,9,8,8,9,9,9,9,8,9,9,9,,7,7,7,7,6,7,7,6,7,7,7,7,7,7,7,7,6.875,8,8,8,8,8,8,7,8,8,7,8,8,,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,5,4,5,5,5,4,5,5,5,5,5,4,4,4,5,5,5,5,4,5,4,5,,4,1,4,2,2,2,7
